ID,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,1366243200,0,0,0,,0,0.0
558468,27,7,1428710400,0,0,0,,0,0.0
76950,404,3,1377734400,657,1,1,,0,6224.058333333333
77556,683,2,1369699200,862,1,0,,0,7882.708333333333
456344,920,3,1381363200,591,1,1,,0,6036.808333333333
436466,758,4,1363651200,569,1,0,,0,4630.258333333333
646251,563,1,1402185600,321,1,1,,0,4201.425
650464,930,6,1405468800,1367,1,0,,0,7592.041666666667
162710,756,4,1368230400,0,0,1,,0,0.0
100327,49,2,1372118400,546,1,1,,0,6755.5
374540,787,4,1412467200,968,1,0,,1,7635.716666666666
399143,782,4,1395964800,472,1,0,,0,4397.916666666667
44740,897,7,1411776000,0,0,0,,0,0.0
674144,933,1,1369094400,965,1,0,,0,7232.0
81595,218,2,1372636800,804,1,0,,1,5767.483333333334
416724,554,3,1387324800,499,1,1,,1,5433.758333333333
632687,362,1,1433894400,1337,1,1,,1,13467.441666666668
351899,655,3,1427500800,560,1,0,,0,5289.683333333333
515940,785,3,1359244800,461,1,0,,1,4592.875
567411,690,3,1430870400,866,1,1,,0,8337.541666666666
274598,1103,7,1402531200,0,0,0,,0,0.0
417880,431,1,1399680000,1367,1,1,,0,14289.508333333333
453710,127,2,1419638400,642,1,1,,0,7260.333333333333
597622,579,5,1424217600,0,0,1,,1,0.0
223346,248,6,1392595200,1139,1,0,,0,8384.941666666668
630018,962,6,1379462400,0,0,0,,0,0.0
355860,224,2,1371600000,515,1,1,,1,6585.35
360080,208,3,1404086400,355,1,1,,1,2773.775
129544,401,1,1402012800,1063,1,1,,0,10537.75
422545,503,7,1438128000,0,0,0,,0,0.0
174199,221,4,1400112000,562,1,1,,0,5847.25
118613,268,7,1417824000,0,0,0,,0,0.0
60310,799,2,1425859200,927,1,1,,1,8843.75
328458,260,6,1430784000,894,1,0,,0,7278.466666666666
200661,1041,2,1402185600,594,1,0,,0,4850.791666666667
179581,350,2,1394323200,533,1,1,,0,7170.316666666667
587612,286,7,1382054400,0,0,0,,0,0.0
320169,620,2,1429920000,709,1,1,,0,7410.508333333333
37194,521,1,1425427200,484,1,1,,0,6314.3
685427,649,4,1376784000,435,1,1,,0,4100.558333333333
125422,1059,2,1434672000,1239,1,1,,0,11779.658333333333
24499,486,6,1382918400,373,1,0,,0,2992.108333333333
281806,252,4,1397865600,642,1,0,,0,7581.158333333334
540511,656,3,1358208000,421,1,1,,0,3707.15
28689,642,5,1381017600,394,1,0,,0,2976.858333333333
165066,655,5,1423526400,761,1,1,,0,8594.358333333334
